,Team,Player,Mouse,Hz,DPI,Sens,eDPI,Scoped Sens,Monitor,Resolution,Mousepad,Keyboard,Headset
,ALTERNATE aTTaX,Magnus,Logitech G Pro X Superlight 2 Black,2000,400,0.5,200,1.0,ZOWIE XL2566K,1920x1080,SteelSeries QcK Heavy,Wooting 60 HE,HyperX Cloud Alpha S
,ALTERNATE aTTaX,Jini,Logitech G Pro X Superlight Black,1000,800,0.2,160.00,1,AOC 24G2Z,1920x1080,Artisan Ninja FX Zero Soft,Wooting 60 HE,SteelSeries Arctis Nova 1
,ALTERNATE aTTaX,kovaQ,Logitech G Pro X Superlight Black,1000,400,0.5,200.00,1,ZOWIE XL2540K,1920x1080,ZOWIE G-SR,Logitech G Pro X Keyboard,Logitech G332
,KPI Gaming,B1sk,Logitech G Pro X Superlight Black,1000,800,0.47,376,1,ZOWIE XL2566K,1920x1080,ZOWIE G-SR-SE Rouge,Varmilo VA87M Beijing Opera,HyperX Cloud Alpha S
,Mandatory,HyP,Razer Viper V3 Pro Black,8000,3200,0.087,278.40,1,,1920x1080,,Razer Huntsman V3 Pro TKL Black,Razer BlackShark V2 Pro Black
,Mandatory,SoOn,Razer Viper V3 Pro Black,1000,1600,0.23,184.00,1,ZOWIE XL2540K,1280x960,WALLHACK MO-001,Razer Huntsman V3 Pro Mini,Razer BlackShark V2 Pro Black
,Mandatory,Cyvoph,Razer Viper V3 Pro Black,1000,800,0.3,240,1,ZOWIE XL2746S,1280x960,Razer Strider,Wooting 60 HE,Razer BlackShark V2 Pro Black
,Mandatory,Goaster,Logitech G Pro X Superlight 2 Black,1000,800,0.4,320,1,ZOWIE XL2746S,1920x1080,SteelSeries QcK Heavy,Wooting 60 HE,Razer BlackShark V2 Pro Black
,Mandatory,TheBigFiz,Razer Viper V3 Pro Black,1000,400,0.41,164,1,ZOWIE XL2746S,1920x1080,Razer Strider,Razer Huntsman V3 Pro TKL Black,Razer BlackShark V2 Pro Black
,Mandatory,Akumaaaaaaa,Razer Deathadder V3 Pro Black,1000,400,0.8,320,1,ZOWIE XL2746S,1920x1080,Razer Gigantus V2,Razer Huntsman V3 Pro,Razer BlackShark V2 Pro Black
,UCAM Esports Club,L1NK,VAXEE XE Wireless Black,1000,800,0.24,192,1,ZOWIE XL2566K,1920x1080,VAXEE PB,Wooting 60 HE,HyperX Cloud II
,UCAM Esports Club,OLIZERA,Logitech G Pro X Superlight 2 White,2000,800,0.35,280,1,ZOWIE XL2546K,1920x1080,Lethal Gaming Gear Saturn Pro Red,Wooting 60 HE,HyperX Cloud II
,Unicorns of Love,nico,Logitech G Pro X Superlight Black,1000,400,0.4,160,1,Alienware AW2518H,1280x1024,Glorious 3XL,Logitech G Pro X Keyboard,Logitech G Pro X Wireless Headset
,SuperMassive Esports,Izzy,Logitech G Pro X Superlight Black,1000,400,0.506,202.4,0.852,ZOWIE XL2546,1920x1080,,Corsair K70 RGB,HyperX Cloud II
,SuperMassive Esports,MOJJ,Logitech G Pro X Superlight Red,1000,400,0.6,240,1,ASUS ROG STRIX XG248Q,1920x1080,ZOWIE G-SR-SE Rouge,HyperX Alloy Origins,HyperX Cloud II
,Made In Thailand,cgrs,FinalMouse Starlight Pro,1000,400,0.66,264,1,,1280x1024,Artisan Hayate Otsu Soft,,
,FULL SENSE,SuperBusS,ZOWIE EC1-CW,1000,800,0.29,232,1,ZOWIE XL2566K,1920x1080,ZOWIE G-SR-SE Rouge,Custom Keyboard,HyperX Cloud III Wireless
,FULL SENSE,sushiboys,VAXEE ZYGEN NP-01S Wireless Pink,1000,800,0.37,296,0.9,ZOWIE XL2546K,1920x1080,ZOWIE G-SR,Glorious GMMK Pro,Logitech G Pro X Headset
,FULL SENSE,LAMMYSNAX,Logitech G Pro X Superlight Black,1000,800,0.244,195.2,1,ZOWIE XL2566K,1920x1080,Lethal Gaming Gear Saturn Pro Red,Wooting 60 HE,Sennheiser GAME ZERO
,FULL SENSE,foxz,Razer Viper Mini Signature Edition,1000,800,0.37,296.00,1,ZOWIE XL2546K,1920x1080,Artisan Ninja FX Zero XSoft,Custom Keyboard,HyperX Cloud II Pink
,FULL SENSE,PTC,Logitech G Pro X Superlight White,1000,800,0.35,280.00,1,ZOWIE XL2546,1440x1080,SteelSeries QcK Heavy XXL,Wooting 60 HE,Logitech G Pro X Headset
,FULL SENSE,JohnOlsen,Logitech G Pro X Superlight 2 Black,4000,800,0.4,320.00,1,ZOWIE XL2566K,1920x1080,Logitech G640 Black,Razer Huntsman V2,HyperX Cloud II
,NAOS Esports,witz,VAXEE OUTSET AX,1000,800,0.410,328,,ZOWIE XL2546K,,Corsair MM350 Champion Series,Corsair K70 RGB TKL,
,Team Secret,JessieVash,Glorious Model D Wireless,1000,800,0.42,336,0.91,ZOWIE XL2546K,1920x1080,Corsair MM350 Champion Series,Corsair K70 RGB TKL,Corsair HS80
,Team Secret,Dispenser,VAXEE ZYGEN NP-01,1000,450,0.440,198,1,ZOWIE XL2546,1920x1080,Corsair MM350 Champion Series,SteelSeries Apex Pro TKL,
,Team Secret,BORKUM,ZOWIE EC3-C,1000,400,0.65,260,1,ZOWIE XL2546K,1920x1080,Corsair MM350 Champion Series,Corsair K70 RGB TKL,Corsair HS80 RGB USB
,FENNEL,Xdll,Razer Viper V3 Hyperspeed,1000,800,0.285,228,1,ZOWIE XL2546K,1920x1080,Razer Strider,Razer Huntsman V3 Pro TKL Black,Razer BlackShark V2 Pro White
,KOI,Sheydos,Logitech G Pro X Superlight Red,1000,400,0.83,332,1.1,ZOWIE XL2546K,1280x960,Razer Gigantus V2,Logitech G Pro X Keyboard,Logitech G Pro X Headset
,KOI,starxo,Logitech G Pro X Superlight Black,1000,800,0.39,312,1,ASUS ROG STRIX XG248Q,1280x1024,ZOWIE G-SR-SE Gris,Logitech G Pro X Keyboard,HyperX Cloud II
,KOI,GRUBINHO,Razer Viper V3 Pro Black,1000,1600,0.135,216,,ASUS TUF VG258QM,1920x1080,Artisan FX Hien XSoft Wine Red,Wooting 60 HE,Razer BlackShark V2 Pro White
,KOI,kamo,Razer Viper V3 Pro White,2000,1000,0.32,320,,ZOWIE XL2546,1280x960,ZOWIE G-SR-SE Gris,Logitech G513,
,KOI,ShadoW,Razer Viper V3 Pro White,1000,400,0.408,163.2,1,ZOWIE XL2546,1920x1080,Artisan Ninja FX Zero XSoft Orange,Logitech G Pro X Keyboard,Logitech G Pro X Headset
,G2 Gozen,mimi,Logitech G Pro X Superlight 2 Magenta,1000,800,0.32,256.00,1,AOC AG254FG,1280x960,Logitech G640 Original,Logitech G512,Logitech G Pro X Wireless Headset
,Karmine Corp,Shin,ZOWIE EC2-CW,1000,400,0.525,210,,,1280x960,Logitech G640 Original,,
,Karmine Corp,marteen,Logitech G Pro X Superlight Magenta,1000,800,0.39,312,1.587,Alienware AW2518H,1920x1080,Logitech G640 Black,Wooting 60 HE,Logitech G PRO X 2 Headset Black
,Karmine Corp,N4RRATE,Logitech G Pro X Superlight Black,1000,1600,0.16,256,0.825,,1920x1080,Artisan Hayate Otsu Soft,Wooting 60 HE,
,Karmine Corp,Magnum,Razer Viper V2 Pro Black,1000,400,0.22,88.00,0.9,AOC C24G1,1280x1024,SteelSeries QcK+,Wooting 60 HE,HyperX Cloud II
,Karmine Corp,tomaszy,ZOWIE EC2-C,1000,400,0.63,252,1,,1600x1024,,Wooting 60 HE,Logitech G PRO X 2 Headset White
,Talon Esports,Surf,Logitech G Pro X Superlight Magenta,1000,1600,0.145,232.00,1,ZOWIE XL2546K,1920x1080,Artisan Ninja FX Zero Soft Orange,Wooting 60 HE,Logitech G PRO X 2 Headset Black
,Talon Esports,Patiphan,Endgame Gear XM1R,1000,800,0.5,400.00,0.92,ZOWIE XL2546,1920x1080,Yuki Aim Oni Black,Custom Keyboard,Sennheiser GAME ZERO
,Talon Esports,governor,Logitech G Pro X Superlight Black,1000,1200,0.35,420,1,ZOWIE XL2566K,1920x1080,,Wooting 60 HE,beyerdynamic DT 990 Pro
,Talon Esports,ban,Logitech G Pro X Superlight White,1000,1600,0.21,336,1,ZOWIE XL2540,1440x1080,Yuki Aim Kitsune,Varmilo MA Series V2 Yakumo White TKL,Corsair HS80 RGB USB
,Talon Esports,JitBoyS,Lamzu Atlantis Mini Pro,1000,800,0.5,400.00,1,ZOWIE XL2546K,1920x1080,Artisan Hayate Otsu XSoft,Logitech G915 TKL Carbon,HyperX Cloud II
,Talon Esports,Crws,Razer Viper V3 Pro White,1000,1600,0.15,240,1,ZOWIE XL2546K,1280x960,ZOWIE G-SR,Logitech G Pro X TKL Keyboard Magenta,Razer BlackShark V2 Pro Black
,Global Esports,Russ,Logitech G Pro X Superlight Black,1000,800,0.38,304,1,ZOWIE XL2546K,1600x900,X-raypad Aqua Control+,HyperX Alloy Origins 60,HyperX Cloud II
,Global Esports,Benkai,Razer Viper V3 Pro Black,1000,800,0.25,200,0.7,ZOWIE XL2566K,1280x960,Artisan FX Hien Soft,Razer Huntsman V3 Pro TKL Black,EPOS H6PRO White
,Fokus Clan,al0rante,Razer Viper Mini Signature Edition,4000,800,0.175,140,1,ZOWIE XL2546K,1920x1080,Razer Gigantus V2,Razer Huntsman V2 TKL,Razer BlackShark V2
,Fokus Clan,Kuba,Logitech G Pro X Superlight 2 Black,2000,400,0.50,200,1,ZOWIE XL2546K,1920x1080,Artisan Ninja FX Zero XSoft,Wooting 60 HE,JBL Quantum One
,Fokus Clan,azury,Razer Viper V2 Pro White,1000,1600,0.1,160,1.1,ZOWIE XL2566K,1920x1080,Razer Gigantus Elite,Razer Huntsman V3 Pro TKL Black,Razer BlackShark V2 Pro White
,Fokus Clan,bucher,G-Wolves Hati S+ 4K,1000,1600,0.1,160.00,1,ZOWIE XL2566K,1920x1080,Artisan Ninja FX Zero Soft,Wooting 60 HE,Logitech G Pro X Headset
,Fokus Clan,SEIDER,Razer Deathadder V3 Pro Black,1000,1600,0.15,240,1,,1280x960,Razer Gigantus V2,Razer Huntsman V2 TKL,Logitech G Pro X Wireless Headset
,Fokus Clan,Matrixx,Razer Viper V3 Pro White,1000,400,0.35,140,1,ZOWIE XL2540K,1152x864,Razer Gigantus V2,Razer Huntsman V3 Pro TKL Black,Razer BlackShark V2 Pro White
,CGN Esports,DaviH,Razer Viper Mini Signature Edition,1000,800,0.28,224,1.14,ZOWIE XL2566K,1680x1050,Razer Strider,Razer Huntsman V3 Pro Mini,Razer BlackShark V2 Pro White
,CGN Esports,BennY,Razer Viper Mini Signature Edition,4000,800,0.315,252,1,ZOWIE XL2566K,1920x1080,Razer Gigantus Elite,Razer Huntsman V3 Pro TKL Black,Razer BlackShark V2 Pro White
,CGN Esports,aNguiSt,Razer Viper V2 Pro Black,2000,800,0.25,200,0.96,ZOWIE XL2566K,1920x1080,Razer Strider,Razer Huntsman V3 Pro TKL Black,Razer BlackShark V2 Pro Black
,CGN Esports,Vince,Razer Viper V2 Pro White,1000,800,0.23,184,1,ZOWIE XL2566K,1920x1080,Razer Atlas Black,Razer Huntsman V3 Pro TKL Black,Razer BlackShark V2 Pro White
,CGN Esports,elllement,Razer Viper Mini Signature Edition,1000,1600,0.22,352,1,ZOWIE XL2566K,1920x1080,Razer Strider,Razer Huntsman V3 Pro TKL Black,Razer BlackShark V2 Pro White
,KRÜ Esports,Melser,Logitech G Pro X Superlight Magenta,1000,400,0.56,224,1,Alienware AW2521H,1920x1080,Lethal Gaming Gear Saturn,Ducky One 2,Logitech G Pro X Headset
,KRÜ Esports,mta,Logitech G Pro X Superlight Black,1000,800,0.3,240,,,1920x1080,X-raypad Aqua Control Zero,HyperX Alloy Origins Core,
,KRÜ Esports,Klaus,Finalmouse Ultralight X Medium,1000,1600,0.36,576,1.144,ZOWIE XL2546K,1920x1080,VAXEE PA Black,Razer Huntsman TE,Logitech G Pro X Wireless Headset
,KRÜ Esports,Shyy,Razer Viper V2 Pro Black,1000,800,0.32,256,1,,1920x1080,Lethal Gaming Gear Saturn Pro,Razer Huntsman V2 TKL,Razer BlackShark V2 Pro Black
,KRÜ Esports,keznit,Razer Viper V3 Pro White,2000,800,0.346,276.8,1,ZOWIE XL2546K,1920x1080,Lethal Gaming Gear Saturn Pro,Wooting 60 HE,Logitech G PRO X 2 Headset Black
,KRÜ Esports,heat,Razer Viper V3 Pro White,1000,800,0.4,320,1,ZOWIE XL2566K,,Artisan Ninja FX Zero XSoft,Wooting 60 HE,HyperX Cloud II
,Turtle Troop,Corey,Endgame Gear XM2we,1000,800,0.486,388.8,1,ZOWIE XL2546,1920x1080,Artisan Ninja FX Zero Soft,Wooting 60 HE,Logitech G Pro X Headset
,Dplus KIA,exy,Logitech G Pro X Superlight Black,1000,400,0.503,201,1,ZOWIE XL2546K,1920x1080,SteelSeries QcK Heavy,Logitech G Pro X Keyboard,Logitech G433
,Dplus KIA,iNTRO,Razer Deathadder V3 Pro Black,1000,400,0.432,172.8,1,ZOWIE XL2546K,1280x1024,Artisan Hayate Otsu Soft,Wooting 60 HE,Sennheiser GSP 600
,Shopify Rebellion,seangares,HyperX Pulsefire Haste,1000,800,0.315,252,1,ZOWIE XL2546,1920x1080,HyperX Fury S Pro,HyperX Alloy FPS,HyperX Cloud Alpha
,Shopify Rebellion,meL,Razer Viper V3 Pro White,8000,800,0.32,256,1,ZOWIE XL2566K,1920x1080,Artisan FX Hien XSoft Wine Red,Wooting 60 HE,
,Shopify Rebellion,florescent,Razer Viper V3 Pro White,4000,1600,0.175,280.00,0.722,ZOWIE XL2566K,1920x1080,Artisan Ninja FX Zero Soft,Wooting 60 HE,HyperX Cloud II
,Shopify Rebellion,sarah,Endgame Gear OP1 8k Black,8000,1600,0.105,168.00,1,ZOWIE XL2566K,1920x1080,Kurosun Samurai,Wooting 60 HE,Cooler Master MH752
,Team RA’AD,Shniider,Razer Deathadder V3 Pro Black,1000,400,0.6,240,1,ZOWIE XL2546K,1280x1024,Artisan FX Hien Soft,Ducky One 2 Mini,
